neighborhood,total_incidents,log_incidents,log_area,dist_to_downtown_km,log_population,total_population,lim_at_prevalence,unemployment_rate,n_addresses,concentration_ratio
Agincourt South-Malvern West,299,5.703782474656201,2.0634500383831846,17.380065281361784,10.09286747369753,24170.0,13.0,14.4,1,1.0
Dorset Park,0,0.0,1.7937821074195006,14.07087242101212,10.098437369479555,24305.0,13.0,14.5,0,0.0
Ionview,0,0.0,0.6693135678134281,12.366395986699645,9.50039462857302,13365.0,13.8,16.4,0,0.0
Kennedy Park,100,4.61512051684126,1.275598352820875,12.361701602944716,9.747418366886238,17110.0,17.0,18.4,2,0.69
Cliffcrest,0,0.0,1.9728074897864791,13.717501454809826,9.688436171119255,16130.0,11.1,15.3,0,0.0
Birchcliffe-Cliffside,34,3.5553480614894135,1.79326954133704,10.222732526501487,10.030120203469494,22700.0,9.7,14.9,1,1.0
Downtown Yonge East,158,5.0689042022202315,-0.21253599691700065,0.2746311418781965,9.78131991856192,17700.0,22.4,13.6,6,0.3860759493670886
Church-Wellesley,24,3.2188758248682006,-0.5866538474053629,1.1460009377385736,10.013238416495247,22320.0,23.3,15.6,2,1.0
St Lawrence-East Bayfront-The Islands,99,4.605170185988092,2.426059912995611,2.6920496662734075,10.350894028432464,31285.0,15.3,10.8,1,1.0
Harbourfront-CityPlace,688,6.535241271013659,0.12956588051815726,1.9556482466577836,10.24476963186738,28135.0,14.4,10.3,1,1.0
Wellington Place,171,5.147494476813453,-0.020571116939793025,1.6280047145256404,10.149175068285233,25570.0,14.0,7.8,4,0.9415204678362573
Fort York-Liberty Village,369,5.91350300563827,0.8499544942946851,3.5889153928560216,9.899228495615745,19915.0,10.3,8.6,2,0.7289972899728997
West Queen West,30,3.4339872044851463,-0.10341962373417482,2.87707200267808,9.485696794737327,13170.0,10.9,7.5,1,1.0
Humber Bay Shores,0,0.0,0.45623332090348434,8.926207183317954,10.025926399728705,22605.0,13.5,12.4,0,0.0
Mimico-Queensway,4,1.6094379124341003,1.7012167898003276,11.153977083259191,9.743612184572003,17045.0,12.4,11.6,1,1.0
Etobicoke City Centre,0,0.0,2.3159617765856555,13.386913431754493,10.069001991013701,23600.0,13.6,11.1,0,0.0
Islington,0,0.0,1.809143328917559,13.539733374606147,10.063052122207466,23460.0,8.5,13.0,0,0.0
Bendale South,0,0.0,0.9335767469015303,14.55049026268495,9.280332743796217,10725.0,9.7,15.4,0,0.0
Caledonia-Fairbank,9,2.302585092994046,0.4347375636632044,7.042020552076425,9.211839248099919,10015.0,10.6,12.9,1,1.0
Briar Hill-Belgravia,0,0.0,0.60307178628601,7.553962780726117,9.587063011218692,14575.0,11.5,13.9,0,0.0
Oakwood Village,8,2.1972245773362196,0.7972245092721378,6.007356262853154,9.93837195438963,20710.0,12.0,12.6,1,1.0
Humewood-Cedarvale,0,0.0,0.6265639496986197,5.477918813305634,9.535679435605061,13845.0,11.2,10.8,0,0.0
Lawrence Park North,0,0.0,0.8285172629864322,8.436440154615795,9.593900644696298,14675.0,5.6,10.9,0,0.0
Lawrence Park South,0,0.0,1.1763126009886764,7.100943137621824,9.613135251528469,14960.0,7.2,9.8,0,0.0
Forest Hill North,0,0.0,0.4521561424799297,6.59631073147939,9.416541202560081,12290.0,10.8,11.6,0,0.0
Forest Hill South,0,0.0,0.9082095907994132,5.078088293730977,9.292841593487926,10860.0,9.8,8.9,0,0.0
Yonge-Eglinton,0,0.0,0.5009945350400599,5.717491192930568,9.426257878198653,12410.0,10.5,11.5,0,0.0
Mount Pleasant East,0,0.0,1.1292617822494493,5.426297154979667,9.70320567036518,16370.0,8.3,10.6,0,0.0
Rosedale-Moore Park,75,4.330733340286331,1.5393524570663417,2.9669540723438543,9.907479573805665,20080.0,8.8,9.4,2,0.8666666666666667
Yonge-St.Clair,0,0.0,0.14960085549650745,3.804847277933962,9.465370112152714,12905.0,9.8,8.5,0,0.0
Casa Loma,0,0.0,0.6535805464462565,3.6346611405496714,9.336973022909548,11350.0,10.7,11.0,1,0.0
Annex,37,3.6375861597263857,1.0261488362883546,2.5773757150249024,10.285342795005159,29300.0,14.4,11.6,7,0.8648648648648649
Wychwood,24,3.2188758248682006,0.5200083029594574,4.324476225667558,9.457200449907708,12800.0,11.2,12.5,2,0.7916666666666666
Corso Italia-Davenport,0,0.0,0.6362358721453765,5.931709625390043,9.487972108574462,13200.0,8.8,11.3,0,0.0
Weston-Pelham Park,0,0.0,0.37561665568197844,6.752851254744366,9.276128112514186,10680.0,13.1,15.2,0,0.0
Junction Area,63,4.1588830833596715,0.9677173034077108,7.473621644775071,9.547526639331053,14010.0,8.8,12.8,2,0.6349206349206349
Oakridge,0,0.0,0.6303165487648942,9.311337043528773,9.525516008736886,13705.0,22.5,21.1,0,0.0
Clairlea-Birchmount,6,1.9459101490553132,2.0012004474329013,10.210270073454721,10.197648591085619,26840.0,11.5,14.9,1,1.0
Wexford/Maryvale,25,3.258096538021482,2.328654933154402,12.195522699738033,10.252205926758403,28345.0,11.6,16.1,1,1.0
Tam O'Shanter-Sullivan,0,0.0,1.6904476292869908,15.119822094037088,10.211156058920025,27205.0,14.4,15.6,0,0.0
Steeles,0,0.0,1.5175633966170083,18.061235085160842,10.032979547768882,22765.0,14.8,18.6,0,0.0
Mount Dennis,0,0.0,0.7558222228544277,10.293626556401982,9.47692648113323,13055.0,14.9,18.7,0,0.0
Lambton Baby Point,0,0.0,0.5778262506490538,9.344008388641978,8.98281222234415,7965.0,12.0,13.2,0,0.0
Weston,0,0.0,0.9422005293931462,12.090826991239439,9.834941010001018,18675.0,18.6,17.4,0,0.0
Beechborough-Greenbrook,0,0.0,0.6062721987653948,9.00353774659643,8.741935464094144,6260.0,18.0,17.6,0,0.0
Rockcliffe-Smythe,0,0.0,1.6235266845735417,9.441649964813871,10.009422902944797,22235.0,15.8,14.2,0,0.0
Keelesdale-Eglinton West,0,0.0,0.5599771067663142,8.059293498352941,9.340491056441229,11390.0,12.5,14.9,0,0.0
Palmerston-Little Italy,0,0.0,0.36134292593156636,3.100197276348412,9.48189306249808,13120.0,10.9,11.2,1,0.0
University,17,2.8903717578961645,0.34018282699389607,1.8355462393592483,8.769507120030227,6435.0,14.6,15.3,2,1.0
Kensington-Chinatown,134,4.90527477843843,0.4282856094745564,1.403128291812194,9.80477157959697,18120.0,23.0,17.7,7,0.47761194029850745
North St.James Town,27,3.332204510175204,-0.8582044174327134,1.5542590745579243,9.827416115584832,18535.0,21.9,17.5,2,0.8888888888888888
